Wavelength(nm)	Power 1	Power 2	Power 3	P1/P3	P2/P3
700.00000000	0.00010351	0.00004059	0.00000000	0.39213398	0.00000000
710.00000000	0.00009589	0.00004012	0.00000000	0.41842677	0.00000000
720.00000000	0.00009650	0.00004215	0.00000000	0.44326357	0.00000000
730.00000000	0.00009048	0.00004115	0.00000000	0.45475394	0.00000000
740.00000000	0.00008461	0.00004098	0.00000000	0.48434358	0.00000000
750.00000000	0.00007810	0.00004094	0.00000000	0.52413530	0.00000000
760.00000000	0.00007007	0.00004025	0.00000000	0.57444172	0.00000000
770.00000000	0.00006069	0.00004189	0.00000000	0.69030236	0.00000000
780.00000000	0.00004768	0.00004043	0.00000000	0.84791499	0.00000000
790.00000000	0.00004202	0.00004211	0.00000000	1.01902294	0.00000000
800.00000000	0.00003581	0.00004118	0.00000000	1.14971120	0.00000000
810.00000000	0.00003341	0.00004139	0.00000000	1.25752338	0.00000000
820.00000000	0.00003332	0.00004243	0.00000000	1.28088729	0.00000000
830.00000000	0.00003219	0.00004211	0.00000000	1.30831859	0.00000000
840.00000000	0.00003156	0.00004225	0.00000000	1.33890788	0.00000000
850.00000000	0.00002955	0.00004117	0.00000000	1.41249540	0.00000000
860.00000000	0.00002635	0.00004168	0.00000000	1.58180279	0.00000000
870.00000000	0.00002332	0.00004191	0.00000000	1.79734891	0.00000000
880.00000000	0.00001975	0.00004058	0.00000000	2.05458276	0.00000000
890.00000000	0.00001879	0.00004021	0.00000000	2.14039856	0.00000000
900.00000000	0.00001820	0.00004199	0.00000000	2.35818555	0.00000000
910.00000000	0.00001690	0.00004234	0.00000000	2.50573111	0.00000000
920.00000000	0.00001637	0.00004163	0.00000000	2.54337264	0.00000000
930.00000000	0.00001397	0.00004135	0.00000000	3.04722769	0.00000000
940.00000000	0.00001108	0.00004084	0.00000000	3.68571385	0.00000000
950.00000000	0.00000889	0.00004260	0.00000000	4.79072383	0.00000000
960.00000000	0.00000624	0.00004114	0.00000000	6.59154286	0.00000000
970.00000000	0.00000479	0.00004069	0.00000000	8.67725652	0.00000000
980.00000000	0.00000411	0.00004167	0.00000000	10.41969929	0.00000000
990.00000000	0.00000384	0.00004169	0.00000000	10.85939268	0.00000000
1000.00000000	0.00000348	0.00004257	0.00000000	12.22917030	0.00000000
